MVL380_gen,MVL380_exp,SMH380_gen,MVL380_wind,BWK380_load,CST380_load,KIJ380_load,MVL380_load,WL380W_load,WL380Z_load,WTR380_load,SMH380_load
-1122.9,1000.0,0.0,-67.99999999999997,180.3,393.29999999999995,-478.20000000000005,248.6,94.0,48.2,210.29999999999998,130.4
-1122.9,0.0,0.0,-127.19999999999999,181.2,395.40000000000003,-169.5,249.8,94.6,48.4,211.20000000000002,131.0
-1122.9,-183.6,0.0,-208.0999999999999,170.7,372.6,-188.7,235.4,89.0,45.6,198.89999999999998,123.4
-1122.9,-774.4,0.0,-277.0,167.39999999999998,365.4,-194.39999999999998,230.8,87.4,44.7,195.29999999999998,121.1
-1122.9,-1000.0,0.0,-331.60000000000014,173.7,378.6,-183.3,239.2,90.6,46.4,202.20000000000002,125.5
-1123.1000000000001,-1000.0,0.0,-413.1,185.10000000000002,403.79999999999995,-469.79999999999995,255.0,96.6,49.4,215.70000000000002,133.8
-1719.2999999999997,-1000.0,0.0,-390.5999999999999,231.60000000000002,504.90000000000003,-385.5,319.0,120.8,61.9,270.0,167.4
-2141.4,-1000.0,0.0,-364.5999999999999,280.5,611.7,-297.0,386.6,146.4,74.9,327.0,202.7
-2166.2,-1000.0,-81.3,-307.6999999999999,305.4,666.5999999999999,-251.39999999999998,421.2,159.4,81.6,356.1,220.9
-2218.1,-7.5,-81.3,-295.6000000000001,308.70000000000005,673.2,-246.0,425.4,161.0,82.4,359.70000000000005,223.1
-2157.6,436.5,-81.3,-332.3000000000001,307.79999999999995,671.7,-247.20000000000002,424.4,160.6,82.3,359.1,222.6
-2036.3999999999999,824.8,-81.3,-362.40000000000026,301.5,657.9000000000001,-258.6,415.6,157.4,80.6,351.6,218.0
-2409.8,1000.0,-284.5,-453.00000000000034,295.5,644.7,-269.4,407.4,154.2,79.0,344.4,213.7
-2409.8,1000.0,-284.5,-540.1,283.20000000000005,618.0,-291.6,390.6,147.8,75.7,330.29999999999995,204.8
-1391.3000000000002,1000.0,-284.5,-591.3,281.4,614.0999999999999,-294.9,388.0,146.8,75.2,328.20000000000005,203.5
-1391.3000000000002,1000.0,-284.5,-625.1,282.29999999999995,615.5999999999999,-293.70000000000005,389.0,147.2,75.4,328.79999999999995,204.0
